epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2818.89,1.79262,1.3664,1.50054,0.56427,0.5648,0.56043,0.23471,2.03584,1.60319,1.64437,0.00148239,0.00148239,0.00148239
43,2884.32,1.75941,1.32023,1.48877,0.59644,0.55878,0.56526,0.23691,2.04647,1.51657,1.66491,0.00145945,0.00145945,0.00145945
44,2950.04,1.74291,1.28122,1.46742,0.5843,0.53701,0.56413,0.22928,2.06302,1.5452,1.64973,0.00143621,0.00143621,0.00143621
45,3015.46,1.76643,1.31378,1.47224,0.59313,0.52155,0.5466,0.2316,2.01815,1.5052,1.62893,0.00141267,0.00141267,0.00141267
46,3081.69,1.73907,1.27682,1.4592,0.61239,0.53991,0.57216,0.23632,2.02946,1.54436,1.64108,0.00138886,0.00138886,0.00138886
47,3147.56,1.74409,1.274,1.47446,0.64352,0.52322,0.58293,0.24834,2.02284,1.46812,1.65386,0.00136478,0.00136478,0.00136478
48,3221.84,1.73644,1.26597,1.4492,0.60089,0.54354,0.56092,0.23207,2.07678,1.52624,1.65205,0.00134047,0.00134047,0.00134047
49,3286.87,1.7193,1.24452,1.44283,0.59638,0.5566,0.57005,0.24132,2.03755,1.50086,1.64874,0.00131593,0.00131593,0.00131593
50,3353.44,1.72351,1.22326,1.46009,0.57186,0.57576,0.55607,0.23315,2.05552,1.49532,1.67603,0.00129118,0.00129118,0.00129118
51,3418.88,1.70802,1.22444,1.457,0.58541,0.5283,0.54267,0.21914,2.07231,1.52157,1.67183,0.00126623,0.00126623,0.00126623
52,3485.6,1.72502,1.22058,1.46485,0.60308,0.55152,0.57197,0.24214,2.04844,1.48053,1.64296,0.00124111,0.00124111,0.00124111
53,3551.38,1.71321,1.19772,1.45045,0.57048,0.5508,0.54763,0.23084,2.05644,1.4841,1.66167,0.00121583,0.00121583,0.00121583
54,3618.17,1.70827,1.23935,1.44086,0.5648,0.53338,0.53759,0.22727,2.06439,1.51789,1.66352,0.00119041,0.00119041,0.00119041
55,3683.68,1.69968,1.19907,1.44472,0.54957,0.57184,0.54988,0.22641,2.09886,1.49335,1.67928,0.00116487,0.00116487,0.00116487
56,3750.41,1.6797,1.177,1.43266,0.57592,0.54717,0.55698,0.23122,2.08561,1.51928,1.66227,0.00113922,0.00113922,0.00113922
57,3816.02,1.70099,1.17472,1.4376,0.5989,0.54209,0.55921,0.23402,2.04708,1.48861,1.65448,0.00111348,0.00111348,0.00111348
58,3882.52,1.67463,1.13135,1.4302,0.58567,0.54644,0.56062,0.23007,2.07326,1.54838,1.68308,0.00108767,0.00108767,0.00108767
59,3948.3,1.65989,1.14507,1.41972,0.63495,0.49202,0.54918,0.22795,2.09634,1.61732,1.69686,0.00106181,0.00106181,0.00106181
60,4013.56,1.64006,1.12276,1.41768,0.57524,0.56023,0.56022,0.23187,2.06979,1.4642,1.68829,0.00103592,0.00103592,0.00103592
61,4079.03,1.61618,1.08862,1.39627,0.60334,0.52322,0.54086,0.22414,2.09248,1.57432,1.6974,0.00101,0.00101,0.00101
62,4143.96,1.64784,1.11686,1.43476,0.60858,0.52917,0.55783,0.22949,2.08737,1.55173,1.72698,0.000984085,0.000984085,0.000984085
63,4209.7,1.6107,1.08695,1.40208,0.60015,0.53919,0.55978,0.22872,2.10578,1.49735,1.70246,0.000958187,0.000958187,0.000958187
64,4275.07,1.61084,1.06367,1.38837,0.5683,0.56821,0.55091,0.22644,2.10594,1.52303,1.69703,0.000932325,0.000932325,0.000932325
65,4341.86,1.61554,1.06855,1.38093,0.56911,0.59714,0.56637,0.23273,2.08728,1.48695,1.6948,0.000906517,0.000906517,0.000906517
66,4406.38,1.61194,1.06766,1.39786,0.60291,0.54064,0.55606,0.23073,2.1124,1.55736,1.72501,0.000880779,0.000880779,0.000880779
67,4473.11,1.58217,1.03229,1.38052,0.60342,0.53846,0.55573,0.23131,2.08984,1.50306,1.70608,0.00085513,0.00085513,0.00085513
